hotel,enrgcons,area,age,numrooms,occrate,effrooms
1,1953916,43000,6,420,32.60,136.92
2,1045555,19979,16,215,63.00,135.45
3,4245313,46529,7,273,65.05,177.59
4,2126199,20962,6,222,70.50,156.51
5,2785958,24212,5,474,69.70,330.38
6,13833968,112200,4,787,48.97,385.39
7,5558123,45000,3,325,49.00,159.25
8,4001213,28548,6,199,52.27,104.02
9,4669758,32865,8,359,50.00,179.5
10,8924035,59406,5,503,57.66,290.03
11,6865534,45000,10,416,94.08,391.37
12,6014590,37435,13,418,68.70,287.17
13,8185738,50828,4,347,49.00,170.03
14,11736136,68000,13,455,64.20,292.11
15,14837426,78868,8,511,63.51,324.54
16,5366490,28454,13,219,76.54,167.62
17,13516215,70000,4,501,67.57,338.53
18,3884425,20000,5,197,66.00,130.02
19,10573409,50000,12,318,61.50,195.57
